SK_ID_CURR,TARGET
100001,0.068494942
100005,0.111586911
100013,0.02806992
100028,0.039119128
100038,0.124386658
100042,0.042594536
100057,0.028812845
100065,0.075875482
100066,0.025333556
100067,0.122071878
100074,0.083093069
100090,0.056511614
100091,0.131689214
100092,0.105687611
100106,0.080537408
100107,0.150939917
100109,0.069841896
100117,0.042866902
100128,0.079767476
100141,0.04643428
100150,0.03658996
100168,0.028336161
100169,0.081667097
100170,0.046356184
100171,0.04052857
100172,0.143001309
100184,0.064958659
100187,0.054054212
100212,0.083370036
100222,0.089764802
100223,0.024621851
100232,0.037111909
100241,0.159406425
100245,0.033941574
100253,0.040845818
100256,0.096907522
100271,0.02228038
100278,0.198118528
100280,0.034654418
100306,0.170454014
100311,0.171414667
100312,0.048188147
100330,0.114626288
100331,0.046963593
100352,0.113414036
100358,0.081281725
100367,0.044476186
100382,0.161421624
100384,0.064255458
100385,0.102431849
100386,0.051045877
100399,0.029362083
100404,0.090778448
100416,0.032094765
100422,0.08654031
100426,0.043757609
100438,0.048614218
100444,0.170787191
100445,0.123887491
100446,0.167752546
100447,0.03824923
100450,0.063070352
100466,0.038940284
100483,0.034150491
100484,0.031132986
100494,0.056679605
100510,0.171770032
100512,0.048067648
100517,0.034449993
100548,0.049314755
100551,0.055996998
100552,0.089306384
100553,0.040903586
100561,0.184662855
100568,0.330235264
100569,0.036076906
100591,0.070851083
100592,0.036062175
100602,0.074961861
100607,0.051207792
100613,0.074790272
100617,0.142005246
100618,0.103106366
100622,0.130555249
100625,0.126149111
100677,0.157560218
100699,0.048461119
100702,0.368468388
100711,0.077192599
100729,0.133405686
100740,0.153655114
100744,0.131507131
100745,0.061820227
100747,0.115003964
100751,0.299594728
100752,0.073383061
100753,0.23503731
100754,0.196263615
100760,0.052538212
100762,0.094090653
100763,0.095131638
100765,0.041247207
100770,0.127713659
100772,0.031735588
100777,0.035554138
100791,0.039013029
100792,0.018948484
100797,0.025965793
100823,0.055863616
100826,0.058880105
100830,0.033455105
100836,0.195834629
100872,0.119822482
100910,0.079452331
100913,0.151685608
100918,0.078596735
100931,0.027291099
100952,0.062309639
100953,0.063368581
100965,0.200960418
100970,0.035122768
100982,0.123804553
100983,0.242251986
100984,0.040954169
100987,0.067773874
100997,0.05103606
100998,0.112048944
101002,0.104468476
101005,0.25020907
101008,0.132108204
101020,0.070067221
101021,0.050180811
101024,0.091873264
101025,0.140431816
101026,0.052687815
101031,0.039487719
101041,0.026868007
101051,0.023189455
101055,0.093131247
101056,0.321110711
101057,0.04667237
101064,0.052365478
101079,0.107152131
101087,0.054068922
101090,0.030080074
101092,0.067541599
101097,0.08071663
101099,0.023051724
101107,0.070513803
101118,0.054058087
101125,0.070121439
101126,0.031017607
101128,0.035686645
101136,0.188686582
101140,0.165630098
101149,0.089407838
101160,0.063135635
101169,0.167027845
101181,0.047073388
101186,0.032756134
101190,0.105529048
101193,0.116410362
101194,0.167685665
101198,0.111974612
101200,0.050016475
101204,0.044411324
101211,0.043695297
101213,0.089798235
101223,0.074680561
101225,0.111597784
101237,0.09388218
101243,0.054576761
101244,0.197178064
101258,0.044775112
101259,0.144457915
101268,0.134971889
101269,0.032932537
101271,0.09877247
101279,0.05606409
101281,0.093634362
101287,0.046069062
101292,0.055991245
101294,0.073692428
101296,0.064786666
101297,0.041837564
101299,0.088674363
101301,0.057957759
101305,0.102835809
101308,0.108701672
101318,0.027289458
101327,0.274060023
101329,0.045908733
101332,0.056624025
101337,0.058331394
101343,0.030366865
101345,0.034570364
101346,0.026268845
101353,0.023647999
101354,0.130898113
101355,0.230812208
101356,0.03026623
101362,0.069049102
101363,0.269251148
101365,0.033141112
101366,0.082341435
101367,0.158518412
101368,0.023688264
101374,0.142825129
101380,0.035506524
101383,0.046915834
101398,0.041039687
101399,0.189754677
101401,0.15803197
101412,0.071454363
101426,0.04671904
101427,0.382389165
101428,0.157180235
101429,0.155197065
101434,0.036597907
101440,0.075418939
101448,0.057825064
101449,0.080291752
101465,0.047712403
101467,0.049394318
101472,0.094685595
101478,0.149232855
101497,0.065124244
101504,0.122878324
101547,0.043780575
101548,0.07764837
101555,0.112574598
101570,0.040301253
101572,0.060327442
101578,0.045862197
101580,0.216681701
101588,0.147027399
101602,0.064325442
101610,0.147101004
101614,0.052695299
101616,0.068676325
101643,0.084111532
101644,0.048292102
101649,0.102614984
101650,0.087625478
101665,0.021428395
101667,0.113107544
101669,0.061182474
101674,0.084595909
101675,0.036148114
101678,0.092084681
101682,0.079305648
101686,0.063874786
101697,0.132193566
101700,0.250799406
101711,0.05751078
101714,0.044063354
101715,0.17789181
101728,0.046609189
101732,0.052910401
101757,0.136123801
101758,0.075147705
101759,0.072494726
101762,0.028896792
101764,0.050421387
101780,0.269325572
101784,0.03075639
101789,0.022092929
101816,0.063051818
101819,0.047080437
101827,0.021603697
101863,0.091721304
101867,0.077826743
101870,0.024357828
101873,0.178175078
101878,0.135951911
101879,0.04415706
101880,0.030838117
101887,0.07309654
101897,0.029635728
101901,0.095968342
101903,0.260913968
101920,0.050553583
101921,0.050701744
101922,0.079062333
101961,0.119637666
101962,0.04070546
101971,0.056687482
101976,0.207746574
102002,0.119641331
102005,0.028355406
102007,0.342310679
102017,0.024640302
102019,0.230647193
102029,0.026459226
102051,0.202022878
102052,0.022186212
102054,0.033311061
102062,0.068619148
102067,0.200868791
102068,0.093063805
102070,0.057272373
102090,0.092715534
102092,0.084032768
102099,0.112147223
102100,0.051154431
102112,0.09354569
102113,0.041258801
102122,0.200574317
102123,0.069655958
102125,0.04744276
102126,0.165786557
102146,0.068993513
102147,0.118631548
102151,0.059759559
102158,0.142685764
102159,0.037984416
102162,0.12161717
102165,0.050361301
102166,0.033585953
102174,0.044405111
102193,0.164639993
102198,0.038833729
102205,0.088028186
102206,0.024512851
102218,0.032512852
102221,0.041956048
102230,0.064147386
102238,0.096560714
102248,0.082348662
102252,0.268110471
102259,0.062013017
102262,0.157659884
102273,0.082659502
102286,0.111436626
102293,0.032399811
102294,0.040929848
102296,0.081762891
102298,0.081119884
102303,0.031511966
102309,0.057013717
102315,0.05617911
102340,0.055409206
102342,0.073423628
102344,0.059777578
102346,0.071597939
102347,0.03526546
102374,0.075393018
102380,0.044147803
102387,0.067302778
102393,0.061097751
102403,0.034663619
102413,0.053940581
102414,0.019680424
102415,0.046538907
102416,0.091435134
102439,0.043936515
102441,0.049338416
102443,0.028860336
102444,0.144057718
102445,0.151320021
102448,0.06927548
102449,0.075741638
102450,0.201603948
102456,0.041071639
102458,0.116078609
102459,0.055060624
102465,0.027965568
102470,0.176263605
102471,0.044724099
